CharacterID,Linkage,Kind,AssetGroup,SlotRef,SourceSWF,SHA256
10687,aal,generic,,,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10685,abys1,skill_visual,abys,a1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10683,abys2,skill_visual,abys,a2,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10681,abys3,skill_visual,abys,a3,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10679,abys4,skill_visual,abys,a4,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10677,abysaa,skill_visual,abys,aa,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10675,adc1,skill_visual,adc,a1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10661,adc2,skill_visual,adc,a2,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10646,adc3,skill_visual,adc,a3,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10640,adc4,skill_visual,adc,a4,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10635,ArchMagea1,skill_visual,ArchMage,a1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10623,ArchMagea2,skill_visual,ArchMage,a2,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10612,ArchMagea3,skill_visual,ArchMage,a3,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10598,ArchMagea4,skill_visual,ArchMage,a4,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10591,ArchMageaa,skill_visual,ArchMage,aa,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10578,ArchMagep,generic,,,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10564,AoTa1,skill_visual,AoT,a1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10560,AoTa2,skill_visual,AoT,a2,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10554,AoTa3,skill_visual,AoT,a3,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10548,AoTa4,skill_visual,AoT,a4,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10544,AoTaa,skill_visual,AoT,aa,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10474,AoTp1,skill_visual,AoT,p1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10428,apal1,skill_visual,apal,a1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10419,apal2,skill_visual,apal,a2,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10418,apal3,skill_visual,apal,a3,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10415,apal4,skill_visual,apal,a4,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10412,ArcInva1,skill_visual,ArcInv,a1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10404,ArcInva2,skill_visual,ArcInv,a2,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10394,ArcInva3,skill_visual,ArcInv,a3,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10385,ArcInva4,skill_visual,ArcInv,a4,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10374,ArcInvaa,skill_visual,ArcInv,aa,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10363,ArcInvp1,skill_visual,ArcInv,p1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10354,Berska1,skill_visual,Bersk,a1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10351,Berska2,skill_visual,Bersk,a2,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10348,Berska3,skill_visual,Bersk,a3,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10343,Berska4,skill_visual,Bersk,a4,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10340,Berskaa,skill_visual,Bersk,aa,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
10336,Berskp1,skill_visual,Bersk,p1,Assets_20260731.swf,54ab0ac2693fbdd0afa0491e122bdbc96d942c2e29bbce81d2f54d5e5243f8a0
