AssetLinkage,TemplateName
Assets_20260702_fla.A1RingAura_2471,A1RingAura
Assets_20260702_fla.Anim_2026Animations_ScionofFlame_SOFAura1_2366,Anim 2026Animations ScionofFlame
Assets_20260702_fla.Anim_2026Animations_ScionofFlame_SOFAura2_2370,Anim 2026Animations ScionofFlame
Assets_20260702_fla.Anim_2026Animations_ScionofFlame_SOFAura3_2374,Anim 2026Animations ScionofFlame
Assets_20260702_fla.Anim_2026Animations_ScionofFlame_SOFAura4_2378,Anim 2026Animations ScionofFlame
Assets_20260702_fla.Anim_2026Animations_ScionofFlame_SOFAura5_2382,Anim 2026Animations ScionofFlame
Assets_20260702_fla.FloatingShieldAura_1934,FloatingShieldAura
Assets_20260702_fla.GlacialWarlordAura_1938,GlacialWarlordAura
Assets_20260702_fla.verusanima4aura_3931,verusanima4aura
sp_ArcInva2Aura,sp ArcInva2Aura
Verusa4aura,Verusa4aura
