AssetGroup,Reference,AssetLinkage,MatchedEffectLinkage,TemplateName
abys,a1,abys1,sp_abys1,abys A1
abys,a2,abys2,sp_abys2,abys A2
abys,a3,abys3,,abys A3
abys,a4,abys4,sp_abys4,abys A4
abys,aa,abysaa,,abys AA
adc,a1,adc1,,adc A1
adc,a2,adc2,,adc A2
adc,a3,adc3,,adc A3
adc,a4,adc4,,adc A4
AoT,a1,AoTa1,,AoT A1
AoT,a2,AoTa2,,AoT A2
AoT,a3,AoTa3,,AoT A3
AoT,a4,AoTa4,,AoT A4
AoT,aa,AoTaa,,AoT AA
AoT,p1,AoTp1,,AoT P1
apal,a1,apal1,sp_apal1,apal A1
apal,a2,apal2,,apal A2
apal,a3,apal3,sp_apal3,apal A3
apal,a4,apal4,sp_apal4,apal A4
ArchMage,a1,ArchMagea1,,ArchMage A1
ArchMage,a2,ArchMagea2,,ArchMage A2
ArchMage,a3,ArchMagea3,,ArchMage A3
ArchMage,a4,ArchMagea4,,ArchMage A4
ArchMage,aa,ArchMageaa,,ArchMage AA
ArcInv,a1,ArcInva1,sp_ArcInva1,ArcInv A1
ArcInv,a2,ArcInva2,sp_ArcInva2,ArcInv A2
ArcInv,a3,ArcInva3,sp_ArcInva3,ArcInv A3
ArcInv,a4,ArcInva4,sp_ArcInva4,ArcInv A4
ArcInv,aa,ArcInvaa,sp_ArcInvaa,ArcInv AA
ArcInv,p1,ArcInvp1,,ArcInv P1
barber_,a1,barber_a1,,barber A1
barber_,a2,barber_a2,,barber A2
barber_,a3,barber_a3,,barber A3
barber_,a4,barber_a4,,barber A4
Bersk,a1,Berska1,sp_Berserk2026a1,Bersk A1
Bersk,a2,Berska2,sp_Berserk2026a2,Bersk A2
Bersk,a3,Berska3,sp_Berserk2026a3,Bersk A3
Bersk,a4,Berska4,sp_Berserk2026a4,Bersk A4
Bersk,aa,Berskaa,sp_Berserk2026aa,Bersk AA
Bersk,p1,Berskp1,,Bersk P1
CC2026,a1,CC2026a1,,CC2026 A1
CC2026,a2,CC2026a2,,CC2026 A2
CC2026,a3,CC2026a3,,CC2026 A3
CC2026,a4,CC2026a4,,CC2026 A4
CC2026,aa,CC2026aa,,CC2026 AA
CC2026,p1,CC2026p1,,CC2026 P1
cchrono,a1,cchronoA1,,cchrono A1
cchrono,a2,cchronoA2,,cchrono A2
cchrono,a3,cchronoA3,,cchrono A3
cchrono,a4,cchronoA4,,cchrono A4
cchrono,aa,cchronoAA,,cchrono AA
chass,a1,chass1,sp_chass1,chass A1
chass,a2,chass2,sp_chass2,chass A2
chass,a3,chass3,sp_chass3,chass A3
chass,a4,chass4,sp_chass4,chass A4
Chavenge,a1,Chavengea1,sp_Chavenge_a1,Chavenge A1
Chavenge,a2,Chavengea2,sp_Chavenge_a2,Chavenge A2
Chavenge,a3,Chavengea3,sp_Chavenge_a3,Chavenge A3
Chavenge,a4,Chavengea4,sp_Chavenge_a4,Chavenge A4
Chavenge,aa,Chavengeaa,sp_Chavenge_aa,Chavenge AA
Chavenge,p1,ChavengePass,,Chavenge P1
dai,a1,dai1,sp_dai1,dai A1
dai,a2,dai2,sp_dai2,dai A2
dai,a3,dai3,sp_dai3,dai A3
dai,a4,dai4,sp_dai4,dai A4
DC_,a1,DC_a1,,DC A1
DC_,a2,DC_a2,,DC A2
DC_,a3,DC_a3,,DC A3
DC_,a4,DC_a4,,DC A4
DC_,aa,DC_aa,,DC AA
DMN,a1,DMNa1,,DMN A1
DMN,a2,DMNa2,,DMN A2
DMN,a3,DMNa3,,DMN A3
DMN,a4,DMNa4,,DMN A4
DMN,aa,DMNaa,,DMN AA
drak,a1,drak1,,drak A1
drak,a2,drak2,,drak A2
drak,a3,drak3,,drak A3
drak,a4,drak4,sp_drak4,drak A4
Drakkar,a1,Drakkara1,,Drakkar A1
Drakkar,a2,Drakkara2,,Drakkar A2
Drakkar,a3,Drakkara3,,Drakkar A3
Drakkar,a4,Drakkara4,,Drakkar A4
Drakkar,aa,Drakkaraa,,Drakkar AA
Drakkar,p1,Drakkarp1,,Drakkar P1
dsg,a1,dsg1,,dsg A1
dsg,a2,dsg2,,dsg A2
dsg,a3,dsg3,ef_dsg3,dsg A3
dsg,a4,dsg4,ef_dsg4,dsg A4
DVHL,a1,DVHLa1,sp_DVHLa1,DVHL A1
DVHL,a2,DVHLa2,sp_DVHLa2,DVHL A2
DVHL,a3,DVHLa3,sp_DVHLa3,DVHL A3
DVHL,a4,DVHLa4,sp_DVHLa4,DVHL A4
DVHL,aa,DVHLaa,sp_DVHLaa,DVHL AA
DVHL,p1,DVHLp1,,DVHL P1
EDoT,a1,EDoTa1,sp_EDoT_a1,EDoT A1
EDoT,a2,EDoTa2,sp_EDoT_a2,EDoT A2
EDoT,a3,EDoTa3,sp_EDoT_a3,EDoT A3
EDoT,a4,EDoTa4,sp_EDoT_a4,EDoT A4
EDoT,aa,EDoTaa,sp_EDoT_aa,EDoT AA
eternal,a1,eternala1,sp_eternala1,eternal A1
eternal,a2,eternala2,sp_eternala2,eternal A2
eternal,a3,eternala3,sp_eternala3,eternal A3
eternal,a4,eternala4,sp_eternala4,eternal A4
eternal,aa,eternalaa,,eternal AA
exalth,a1,exaltha1,sp_exaltha1,exalth A1
exalth,a2,exaltha2,sp_exaltha2,exalth A2
exalth,a3,exaltha3,sp_exaltha3,exalth A3
exalth,a4,exaltha4,,exalth A4
exalth,aa,exalthaa,,exalth AA
frostMonk,a1,frostMonka1,,frostMonk A1
frostMonk,a2,frostMonka2,,frostMonk A2
frostMonk,a3,frostMonka3,,frostMonk A3
frostMonk,a4,frostMonka4,,frostMonk A4
frostMonk,aa,frostMonkaa,,frostMonk AA
frostvb,a1,frostvba1,sp_frostvba1,frostvb A1
frostvb,a2,frostvba2,sp_frostvba2,frostvb A2
frostvb,a3,frostvba3,sp_frostvba3,frostvb A3
frostvb,a4,frostvba4,sp_frostvba4,frostvb A4
frostvb,aa,frostvbaa,sp_frostvbaa,frostvb AA
FSR,a1,FSRa1,,FSR A1
FSR,a2,FSRa2,,FSR A2
FSR,a3,FSRa3,,FSR A3
FSR,a4,FSRa4,,FSR A4
FSR,aa,FSRaa,,FSR AA
FSR,p1,FSRp1,,FSR P1
glaber,a1,glaber1,sp_glaber1,glaber A1
glaber,a2,glaber2,sp_glaber2,glaber A2
glaber,a3,glaber3,sp_glaber3,glaber A3
glaber,a4,glaber4,sp_glaber4,glaber A4
glaber,aa,glaberaa,,glaber AA
GlaW,a1,GlaWa1,sp_GlaWa1,GlaW A1
GlaW,a2,GlaWa2,sp_GlaWa2,GlaW A2
GlaW,a3,GlaWa3,sp_GlaWa3,GlaW A3
GlaW,a4,GlaWa4,,GlaW A4
GlaW,aa,GlaWaa,,GlaW AA
GlaW,p1,GlaWp1,,GlaW P1
gt,a1,gt1,,gt A1
gt,a2,gt2,,gt A2
gt,a3,gt3,,gt A3
gt,a4,gt4,ef_gt4,gt A4
Guno,a1,Gunoa1,,Guno A1
Guno,a2,Gunoa2,,Guno A2
Guno,a3,Gunoa3,,Guno A3
Guno,a4,Gunoa4,,Guno A4
Guno,aa,Gunoaa,,Guno AA
Guno,p1,Gunop1,,Guno P1
HBVic,a1,HBVica1,sp_HBVa1,HBVic A1
HBVic,a2,HBVica2,sp_HBVa2,HBVic A2
HBVic,a3,HBVica3,sp_HBVa3,HBVic A3
HBVic,a4,HBVica4,sp_HBVa4,HBVic A4
HBVic,aa,HBVicaa,sp_HBVaa,HBVic AA
HBVic,p1,HBVicp1,,HBVic P1
inver,a1,inver1,sp_inver1,inver A1
inver,a2,inver2,sp_inver2,inver A2
inver,a3,inver3,sp_inver3,inver A3
inver,a4,inver4,sp_inver4,inver A4
inver,aa,inveraa,,inver AA
KingEcho,a1,KingEchoa1,sp_KingEchoa1,KingEcho A1
KingEcho,a2,KingEchoa2,sp_KingEchoa2,KingEcho A2
KingEcho,a3,KingEchoa3,sp_KingEchoa3,KingEcho A3
KingEcho,a4,KingEchoa4,sp_KingEchoa4,KingEcho A4
KingEcho,aa,KingEchoaa,sp_KingEchoaa,KingEcho AA
KingEcho,p1,KingEchop1,,KingEcho P1
legPally,a1,legPallya1,sp_legPallya1,legPally A1
legPally,a2,legPallya2,,legPally A2
legPally,a3,legPallya3,sp_legPallya3,legPally A3
legPally,a4,legPallya4,sp_legPallya4,legPally A4
legPally,aa,legPallyaa,,legPally AA
legPally,p1,legPallyp1,,legPally P1
Lich25,a1,Lich25a1,,Lich25 A1
Lich25,a2,Lich25a2,,Lich25 A2
Lich25,a3,Lich25a3,,Lich25 A3
