command	source_sites	route_origin	php_handler	status
acceptQuest	Sources/Client/src/World.as:8634	JAVA_94	ExtensionRouter::acceptQuest	SUPPORTED
addFriend	Sources/Client/src/World.as:9460	JAVA_94	ExtensionRouter::addFriend	SUPPORTED
afk	Sources/Client/src/World.as:5336;Sources/Client/src/World.as:5345;Sources/Client/src/World.as:5355	JAVA_94	ExtensionRouter::afk	SUPPORTED
aggroMon	Sources/Client/src/World.as:6765	JAVA_94	ExtensionRouter::aggro	SUPPORTED
bankFromInv	Sources/Client/src/World.as:4257	JAVA_94	ExtensionRouter::bankMove	SUPPORTED
bankSwapInv	Sources/Client/src/World.as:4313	JAVA_94	ExtensionRouter::bankSwap	SUPPORTED
bankToInv	Sources/Client/src/World.as:4279	JAVA_94	ExtensionRouter::bankMove	SUPPORTED
buyAuctionItem	Sources/Client/src/World.as:4583	JAVA_94	ExtensionRouter::buyAuction	SUPPORTED
buyBagSlots	Sources/Client/src/World.as:5058	JAVA_94	ExtensionRouter::buySlots	SUPPORTED
buyBankSlots	Sources/Client/src/World.as:5063	JAVA_94	ExtensionRouter::buySlots	SUPPORTED
buyHouseSlots	Sources/Client/src/World.as:5068	JAVA_94	ExtensionRouter::buySlots	SUPPORTED
buyItem	Sources/Client/src/World.as:4545;Sources/Client/src/World.as:4599	JAVA_94	ExtensionRouter::buyItem	SUPPORTED
castt	Sources/Client/src/World.as:10130	CLIENT_ALIAS	ExtensionRouter::handle (direct response)	SUPPORTED
cc	Sources/Client/src/Chat.as:728;Sources/Client/src/Chat2.as:1489	JAVA_94	ExtensionRouter::cannedChat	SUPPORTED
changeArmorColor	Sources/Client/src/World.as:4330	JAVA_94	ExtensionRouter::changeArmorColor	SUPPORTED
changeClass	Sources/Client/src/World.as:4744	CLIENT_ALIAS	ExtensionRouter::changeClass	SUPPORTED
changeColor	Sources/Client/src/World.as:4325	JAVA_94	ExtensionRouter::changeColor	SUPPORTED
