java_source	java_class	php_mapping	status	notes
src/aqworlds/Suck_MElator.java	Suck_MElator	GameServer + ExtensionRouter + Protocol	INTEGRATED	Extension lifecycle, SmartFox events, flood filtering, request dispatch and teardown are integrated into the PHP daemon.
src/aqworlds/config/ConfigData.java	ConfigData	Config + config/emulator.php	PORTED	Runtime server/connection/anti-flood settings are represented in PHP config; Java Hikari-only pool knobs are PDO implementation-specific.
src/aqworlds/db/Database.java	Database	Database	PORTED	PDO transaction/reconnect wrapper replaces JdbcHelper/Hikari.
src/aqworlds/db/model/Achievement.java	Achievement	WorldRepository::$achievements	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Area.java	Area	WorldRepository::$maps/$mapItems	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Aura.java	Aura	WorldRepository::$auras/$skillsAuras	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/AuraEffects.java	AuraEffects	WorldRepository::$auraEffects/$auraEffectsByAura	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Cell.java	Cell	No active Java runtime use / no cells table in shipped schema	SOURCE_ONLY_PARITY	Class exists in the decompiled source but is not loaded/instantiated by the shipped Java runtime path and its table is absent from the shipped schema; no runtime behavior is missing.
src/aqworlds/db/model/Class.java	Class	WorldRepository::$classes/$classSkills	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Enhancement.java	Enhancement	WorldRepository::$enhancements	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/EnhancementPattern.java	EnhancementPattern	WorldRepository::$patterns	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/GlobalDrop.java	GlobalDrop	WorldRepository::$globalDrops	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Hair.java	Hair	WorldRepository::$hairs	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Hairshop.java	Hairshop	WorldRepository::$hairshops/$hairshopItems	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/House.java	House	GameServer house metadata + ExtensionRouter::house	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Item.java	Item	WorldRepository::$items/$itemRequirements/$specialSkills	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/MapMonster.java	MapMonster	WorldRepository::$mapMonsterRows + mapMonsters	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Monster.java	Monster	WorldRepository::$monsters/$monsterDrops/$monsterSkills	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/MonsterDrop.java	MonsterDrop	WorldRepository::$monsterDrops	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/MonsterTitle.java	MonsterTitle	No active Java runtime reference / no monster-title table in shipped schema	SOURCE_ONLY_PARITY	Class exists in the decompiled source but is not loaded/instantiated by the shipped Java runtime path and its table is absent from the shipped schema; no runtime behavior is missing.
src/aqworlds/db/model/Quest.java	Quest	WorldRepository::$quests/$questRequiredItems/$questRequirements/$questRewards	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/QuestRequirement.java	QuestRequirement	WorldRepository::$questRequirements	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/QuestReward.java	QuestReward	WorldRepository::$questRewards	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Shop.java	Shop	WorldRepository::$shops/$shopItems	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/ShopSeasonal.java	ShopSeasonal	WorldRepository::$seasonalShops	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Skill.java	Skill	WorldRepository::$skills/$classSkills/$specialSkills	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Title.java	Title	WorldRepository::$titles	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/db/model/Wheel.java	Wheel	WorldRepository::$wheels	PORTED	Java bean/result-set object is represented as cached associative rows/runtime metadata in PHP.
src/aqworlds/requests/IRequest.java	IRequest	ExtensionRouter::handle	INTEGRATED	PHP dispatch uses methods rather than one IRequest object per route.
src/aqworlds/requests/RequestExceptionMessage.java	RequestExceptionMessage	ExtensionRouter validation + GameServer::sendRaw/sendJson	INTEGRATED	Message/warning failures are emitted directly instead of Java checked exceptions.
src/aqworlds/requests/RequestExceptionModal.java	RequestExceptionModal	ExtensionRouter popupmsg validation responses	INTEGRATED	Modal failures map to stock-client popupmsg JSON responses.
src/aqworlds/requests/RequestManage.java	RequestManage	ExtensionRouter::$supported + ExtensionRouter::handle	PORTED	All 94 registered Java route names have explicit PHP switch branches.
src/aqworlds/requests/events/achievement/GetAchievement.java	GetAchievement	ExtensionRouter::getAchievement [getAchievement]	PORTED	Registered Java XT request behavior is implemented by an explicit PHP route.
src/aqworlds/requests/events/achievement/SetAchievement.java	SetAchievement	ExtensionRouter::setAchievement [setAchievement]	PORTED	Registered Java XT request behavior is implemented by an explicit PHP route.
