command	java_class	java_source	java_param_count	java_json_responses	java_raw_responses	java_tables_observed	php_handler	status
getAchievement	GetAchievement	src/aqworlds/requests/events/achievement/GetAchievement.java	1	getAchievement		users_achievements	ExtensionRouter::getAchievement	PORTED
setAchievement	SetAchievement	src/aqworlds/requests/events/achievement/SetAchievement.java	3			a	ExtensionRouter::setAchievement	PORTED
buyAuctionItem	BuyAuctionItem	src/aqworlds/requests/events/auction/BuyAuctionItem.java	1	buyAuctionItem,updateGoldCoins		items,users,users_items,users_markets,users_markets_logs	ExtensionRouter::buyAuction	PORTED
loadAuction	LoadAuction	src/aqworlds/requests/events/auction/LoadAuction.java	0	loadAuction		users,users_markets	ExtensionRouter::loadAuction	PORTED
loadRetrieve	LoadRetrieve	src/aqworlds/requests/events/auction/LoadRetrieve.java	0	loadRetrieve		users_markets	ExtensionRouter::loadAuction	PORTED
retrieveAuctionItem	RetrieveAuctionItem	src/aqworlds/requests/events/auction/RetrieveAuctionItem.java	1	retrieveAuctionItem,updateGoldCoins		items,users,users_items,users_markets,users_markets_logs	ExtensionRouter::retrieveAuction	PORTED
retrieveAuctionItems	RetrieveAuctionItems	src/aqworlds/requests/events/auction/RetrieveAuctionItems.java	0	retrieveAuctionItems,updateGoldCoins		items,users,users_items,users_markets,users_markets_logs	ExtensionRouter::retrieveAuction	PORTED
searchAuction	SearchAuction	src/aqworlds/requests/events/auction/SearchAuction.java	1	loadAuction		items,users,users_markets	ExtensionRouter::searchAuction	PORTED
sellAuctionItem	SellAuctionItem	src/aqworlds/requests/events/auction/SellAuctionItem.java	5	sellAuctionItem,updateGoldCoins		users,users_items,users_markets,users_markets_logs	ExtensionRouter::sellAuction	PORTED
bankFromInv	BankFromInventory	src/aqworlds/requests/events/bank/BankFromInventory.java	2	bankFromInv		a,inventory,users_items	ExtensionRouter::bankMove	PORTED
bankSwapInv	BankSwapInventory	src/aqworlds/requests/events/bank/BankSwapInventory.java	4	bankSwapInv		a,users_items	ExtensionRouter::bankSwap	PORTED
bankToInv	BankToInventory	src/aqworlds/requests/events/bank/BankToInventory.java	2	bankToInv		a,items,users_items	ExtensionRouter::bankMove	PORTED
