[Fri 09/11/2026  6:39:29.88] Starting Aera PHP Emulator using C:\PHP\8.2.9\php.exe
[2026-09-10 23:39:30] ERROR   PHP 2: mkdir(): File exists @ C:\inetpub\wwwroot\AERA\Emulator\PHP\src\Autoload.php(92) : eval()'d code:1144
[2026-09-10 23:39:30] INFO    Aera PHP Emulator listening on 0.0.0.0:5589
[2026-09-10 23:39:30] INFO    Live admin console listening on 127.0.0.1:5591
[2026-09-10 23:39:30] INFO    Protocol: SmartFoxServer 1.x compatible socket + Aera xt requests
[2026-09-10 23:40:34] INFO    Socket connected 162.247.130.167:57329
[2026-09-10 23:40:34] INFO    SmartFox login request user=animu zone=zone_master client=3.01
[2026-09-10 23:40:34] INFO    Login OK animu access=100 sfsId=1; loginResponse sent.
[2026-09-10 23:40:49] INFO    A Blood Rift has opened in newbie! The city is under attack. Use /rift join.
[2026-09-10 23:41:00] WARNING Combat action produced no valid target: player=animu skill=aa target=m:1; refunded and unlocked.
[2026-09-10 23:41:06] WARNING Combat action produced no valid target: player=animu skill=aa target=m:1; refunded and unlocked.
[2026-09-10 23:41:08] WARNING Combat action produced no valid target: player=animu skill=aa target=m:8; refunded and unlocked.
[2026-09-10 23:41:12] WARNING Combat action produced no valid target: player=animu skill=aa target=m:1; refunded and unlocked.
[2026-09-10 23:41:13] WARNING Combat action produced no valid target: player=animu skill=aa target=m:8; refunded and unlocked.
[2026-09-10 23:41:20] WARNING Combat action produced no valid target: player=animu skill=aa target=m:1; refunded and unlocked.
[2026-09-10 23:41:21] WARNING Combat action produced no valid target: player=animu skill=aa target=m:8; refunded and unlocked.
[2026-09-10 23:42:38] WARNING Combat action produced no valid target: player=animu skill=aa target=m:1; refunded and unlocked.
[2026-09-10 23:42:38] WARNING Combat action produced no valid target: player=animu skill=a2 target=m:1; refunded and unlocked.
[2026-09-10 23:42:42] WARNING Combat action produced no valid target: player=animu skill=aa target=m:8; refunded and unlocked.
[2026-09-10 23:42:53] WARNING Combat action produced no valid target: player=animu skill=aa target=m:1; refunded and unlocked.
[2026-09-10 23:42:55] WARNING Combat action produced no valid target: player=animu skill=aa target=m:8; refunded and unlocked.
